M,P0/P,rho0/rho,T0/T,A/A*
0.02,1.000,1.000,1.000,28.94
0.04,1.001,1.001,1.000,14.48
0.06,1.003,1.002,1.001,9.666
0.08,1.004,1.003,1.001,7.262
0.10,1.007,1.005,1.002,5.822
0.12,1.010,1.007,1.003,4.864
0.14,1.014,1.010,1.004,4.182
0.16,1.018,1.013,1.005,3.673
0.18,1.023,1.016,1.006,3.278
0.20,1.028,1.020,1.008,2.964
0.22,1.034,1.024,1.010,2.708
0.24,1.041,1.029,1.012,2.496
0.26,1.048,1.034,1.014,2.317
0.28,1.056,1.040,1.016,2.166
0.30,1.064,1.046,1.018,2.035
0.32,1.074,1.052,1.020,1.922
0.34,1.083,1.059,1.023,1.823
0.36,1.094,1.066,1.026,1.736
0.38,1.105,1.074,1.029,1.659
0.40,1.117,1.082,1.032,1.590
0.42,1.129,1.091,1.035,1.529
0.44,1.142,1.100,1.039,1.474
0.46,1.156,1.109,1.042,1.425
0.48,1.171,1.119,1.046,1.380
0.50,1.186,1.130,1.050,1.340
0.52,1.202,1.141,1.054,1.303
0.54,1.219,1.152,1.058,1.270
0.56,1.237,1.164,1.063,1.240
0.58,1.256,1.177,1.067,1.213
0.60,1.276,1.190,1.072,1.188
0.62,1.296,1.203,1.077,1.166
0.64,1.317,1.218,1.082,1.145
0.66,1.340,1.232,1.087,1.127
0.68,1.363,1.247,1.092,1.110
0.70,1.387,1.263,1.098,1.094
0.72,1.412,1.280,1.104,1.081
0.74,1.439,1.297,1.110,1.068
0.76,1.466,1.314,1.116,1.057
0.78,1.495,1.333,1.122,1.047
0.80,1.524,1.351,1.128,1.038
0.82,1.555,1.371,1.134,1.030
0.84,1.587,1.391,1.141,1.024
0.86,1.621,1.412,1.148,1.018
0.88,1.655,1.433,1.155,1.013
0.90,1.691,1.456,1.162,1.009
0.92,1.729,1.478,1.169,1.006
0.94,1.767,1.502,1.177,1.003
0.96,1.808,1.526,1.184,1.001
0.98,1.850,1.552,1.192,1.000
1.00,1.893,1.577,1.200,1.000
1.02,1.938,1.604,1.208,1.000
1.04,1.985,1.632,1.216,1.001
1.06,2.033,1.660,1.225,1.003
1.08,2.083,1.689,1.233,1.005
1.10,2.135,1.719,1.242,1.008
1.12,2.189,1.750,1.251,1.011
1.14,2.245,1.782,1.260,1.015
1.16,2.303,1.814,1.269,1.020
1.18,2.363,1.848,1.278,1.025
1.20,2.425,1.883,1.288,1.030
1.22,2.489,1.918,1.298,1.037
1.24,2.556,1.955,1.308,1.043
1.26,2.625,1.992,1.318,1.050
1.28,2.697,2.031,1.328,1.058
1.30,2.771,2.071,1.338,1.066
1.32,2.847,2.112,1.348,1.075
1.34,2.927,2.153,1.359,1.084
1.36,3.009,2.197,1.370,1.094
1.38,3.094,2.241,1.381,1.104
1.40,3.182,2.286,1.392,1.115
1.42,3.273,2.333,1.403,1.126
1.44,3.368,2.381,1.415,1.138
1.46,3.465,2.430,1.426,1.150
1.48,3.566,2.480,1.438,1.163
1.50,3.671,2.532,1.450,1.176
1.52,3.779,2.585,1.462,1.190
1.54,3.891,2.639,1.474,1.204
1.56,4.007,2.695,1.487,1.219
1.58,4.127,2.752,1.499,1.234
1.60,4.250,2.811,1.512,1.250
1.62,4.378,2.871,1.525,1.267
1.64,4.511,2.933,1.538,1.284
1.66,4.648,2.996,1.551,1.301
1.68,4.790,3.061,1.564,1.319
1.70,4.936,3.128,1.578,1.338
1.72,5.087,3.196,1.592,1.357
1.74,5.244,3.266,1.606,1.376
1.76,5.406,3.338,1.620,1.397
1.78,5.573,3.411,1.634,1.418
1.80,5.746,3.487,1.648,1.439
1.82,5.924,3.564,1.662,1.461
1.84,6.109,3.643,1.677,1.484
1.86,6.300,3.723,1.692,1.507
1.88,6.497,3.806,1.707,1.531
1.90,6.701,3.891,1.722,1.555
1.92,6.911,3.978,1.737,1.580
1.94,7.128,4.067,1.753,1.606
1.96,7.353,4.158,1.768,1.633
1.98,7.585,4.251,1.784,1.660
2.00,7.824,4.347,1.800,1.687
2.05,8.458,4.596,1.840,1.760
2.10,9.145,4.859,1.882,1.837
2.15,9.888,5.138,1.924,1.919
2.20,10.69,5.433,1.968,2.005
2.25,11.56,5.746,2.012,2.096
2.30,12.50,6.076,2.058,2.193
2.35,13.52,6.425,2.104,2.295
2.40,14.62,6.794,2.152,2.403
2.45,15.81,7.183,2.200,2.517
2.50,17.09,7.594,2.250,2.637
2.55,18.47,8.027,2.300,2.763
2.60,19.95,8.484,2.352,2.896
2.65,21.56,8.965,2.404,3.036
2.70,23.28,9.472,2.458,3.183
2.75,25.14,10.01,2.512,3.338
2.80,27.14,10.57,2.568,3.500
2.85,29.29,11.16,2.624,3.671
2.90,31.59,11.78,2.682,3.850
2.95,34.07,12.43,2.740,4.038
3.00,36.73,13.12,2.800,4.235
3.05,39.59,13.84,2.860,4.441
3.10,42.65,14.59,2.922,4.657
3.15,45.93,15.39,2.984,4.884
3.20,49.44,16.22,3.048,5.121
3.25,53.20,17.09,3.112,5.369
3.30,57.22,18.00,3.178,5.629
3.35,61.52,18.96,3.244,5.900
3.40,66.12,19.96,3.312,6.184
3.45,71.03,21.01,3.380,6.480
3.50,76.27,22.11,3.450,6.790
